date,home_away,opponent,score,passing_cmp,passing_att,passing_pct,passing_yds,passing_td,rushing_att,rushing_yds,rushing_avg,rushing_td,total_plays,total_yds,total_avg,first_down_pass,first_down_rush,first_down_pen,first_down_total,penalties,penalty_yds,fumbles,intceptions,turnovers
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-02,,San Jose State,W (49-13),5,13,38.5,91,1,60,505,8.4,6,73,596,8.2,4,24,0,28,4,31,0,3,3
2000-09-09,@,Notre Dame,W (27-24),7,15,46.7,103,0,59,274,4.6,4,74,377,5.1,5,14,1,20,6,44,0,1,1
2000-09-23,,Iowa,W (42-13),10,13,76.9,159,5,51,331,6.5,0,64,490,7.7,6,17,0,23,5,55,1,0,1
2000-09-30,,Missouri,W (42-24),11,23,47.8,173,2,53,311,5.9,2,76,484,6.4,11,12,4,27,7,53,0,0,0
2000-10-07,@,Iowa State,W (49-27),7,17,41.2,164,0,60,336,5.6,6,77,500,6.5,7,13,0,20,5,38,0,1,1
2000-10-14,@,Texas Tech,W (56-3),7,14,50.0,98,1,77,442,5.7,6,91,540,5.9,4,25,1,30,9,68,1,1,2
2000-10-21,,Baylor,W (59-0),5,12,41.7,49,0,67,459,6.9,7,79,508,6.4,2,21,0,23,12,109,0,0,0
2000-10-28,@,Oklahoma,L (14-31),12,27,44.4,133,1,43,195,4.5,1,70,328,4.7,6,10,0,16,4,50,1,1,2
2000-11-04,,Kansas,W (56-17),7,8,87.5,69,1,73,493,6.8,7,81,562,6.9,3,26,2,31,3,29,2,0,2
2000-11-11,@,Kansas State,L (28-29),2,13,15.4,39,0,45,200,4.4,3,58,239,4.1,2,8,1,11,11,94,1,1,2
2000-11-24,,Colorado,W (34-32),11,17,64.7,139,0,48,296,6.2,3,65,435,6.7,7,15,1,23,5,51,3,0,3
2000-12-30,N,Northwestern*,W (66-17),,,,,,,,,,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-25,,TCU,W (21-7),10,18,55.6,151,0,50,159,3.2,3,68,310,4.6,5,9,2,16,5,46,1,1,2
2001-09-01,,Troy,W (42-14),9,16,56.3,127,0,60,330,5.5,5,76,457,6.0,5,19,1,25,4,60,2,1,3
2001-09-08,,Notre Dame,W (27-10),6,9,66.7,88,1,52,182,3.5,2,61,270,4.4,5,10,1,16,10,69,2,0,2
2001-09-20,,Rice,W (48-3),12,15,80.0,205,3,53,292,5.5,4,68,497,7.3,8,16,0,24,4,46,0,0,0
2001-09-29,@,Missouri,W (36-3),8,15,53.3,120,0,72,412,5.7,5,87,532,6.1,6,19,1,26,9,85,1,1,2
2001-10-06,,Iowa State,W (48-14),11,16,68.8,117,0,54,359,6.6,6,70,476,6.8,5,18,2,25,3,40,0,1,1
2001-10-13,@,Baylor,W (48-7),4,9,44.4,47,0,73,641,8.8,7,82,688,8.4,3,27,1,31,4,32,5,0,5
2001-10-20,,Texas Tech,W (41-31),10,22,45.5,196,3,56,335,6.0,2,78,531,6.8,9,19,2,30,9,93,0,2,2
2001-10-27,,Oklahoma,W (20-10),11,19,57.9,165,1,44,164,3.7,1,63,329,5.2,5,7,1,13,6,57,0,1,1
2001-11-03,@,Kansas,W (51-7),14,25,56.0,164,0,51,284,5.6,5,76,448,5.9,7,17,0,24,3,25,0,0,0
2001-11-10,,Kansas State,W (31-21),3,7,42.9,60,0,58,264,4.6,2,65,324,5.0,2,16,0,18,4,41,1,2,3
2001-11-23,@,Colorado,L (36-62),13,28,46.4,198,0,49,354,7.2,5,77,552,7.2,8,13,0,21,8,80,2,2,4
2002-01-03,N,Miami (FL)*,L (14-37),,,,,,,,,,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-24,,Arizona State,W (48-10),5,13,38.5,33,1,59,283,4.8,3,72,316,4.4,1,15,3,19,6,42,0,0,0
2002-08-31,,Troy,W (31-16),8,16,50.0,114,0,54,199,3.7,2,70,313,4.5,4,12,1,17,3,25,1,1,2
2002-09-07,,Utah State,W (44-13),8,15,53.3,130,2,54,288,5.3,4,69,418,6.1,6,13,1,20,3,16,2,0,2
2002-09-14,@,Penn State,L (7-40),8,16,50.0,76,0,45,252,5.6,1,61,328,5.4,4,14,0,18,7,60,0,3,3
2002-09-28,@,Iowa State,L (14-36),12,29,41.4,192,1,30,81,2.7,1,59,273,4.6,6,4,0,10,10,75,4,1,5
2002-10-05,,McNeese State,W (38-14),12,18,66.7,151,1,52,444,8.5,4,70,595,8.5,10,16,0,26,5,66,0,1,1
2002-10-12,,Missouri,W (24-13),4,12,33.3,34,1,62,325,5.2,1,74,359,4.9,2,16,2,20,6,66,1,0,1
2002-10-19,@,Oklahoma State,L (21-24),7,14,50.0,110,0,54,259,4.8,3,68,369,5.4,6,11,1,18,6,55,1,0,1
2002-10-26,@,Texas A&M,W (38-31),7,12,58.3,116,0,73,381,5.2,5,85,497,5.8,5,23,0,28,7,65,2,0,2
2002-11-02,,Texas,L (24-27),7,16,43.8,98,2,47,320,6.8,1,63,418,6.6,3,12,2,17,6,55,0,2,2
2002-11-09,,Kansas,W (45-7),5,15,33.3,62,2,56,352,6.3,3,71,414,5.8,3,14,2,19,7,60,0,1,1
2002-11-16,@,Kansas State,L (13-49),9,25,36.0,134,0,40,97,2.4,1,65,231,3.6,6,7,2,15,10,94,0,0,0
2002-11-29,,Colorado,L (13-28),6,17,35.3,119,1,46,215,4.7,0,63,334,5.3,3,13,2,18,3,35,1,1,2
2002-12-27,N,Mississippi*,L (23-27),7,17,41.2,93,1,52,266,5.1,0,69,359,5.2,5,11,1,17,6,70,0,2,2
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-30,,Oklahoma State,W (17-7),8,16,50.0,78,0,65,268,4.1,1,81,346,4.3,4,13,2,19,9,75,1,1,2
2003-09-06,,Utah State,W (31-7),12,17,70.6,132,0,64,273,4.3,3,81,405,5.0,4,18,0,22,5,50,2,0,2
2003-09-13,,Penn State,W (18-10),4,6,66.7,60,0,72,337,4.7,1,78,397,5.1,3,20,0,23,7,47,1,1,2
2003-09-25,@,Southern Mississippi,W (38-14),6,15,40.0,124,2,45,141,3.1,3,60,265,4.4,3,6,2,11,9,50,0,1,1
2003-10-04,,Troy,W (30-0),9,15,60.0,160,1,47,186,4.0,3,62,346,5.6,5,8,2,15,5,36,2,1,3
2003-10-11,@,Missouri,L (24-41),12,19,63.2,146,1,54,253,4.7,2,73,399,5.5,6,17,0,23,9,42,4,1,5
2003-10-18,,Texas A&M,W (48-12),3,9,33.3,51,1,68,333,4.9,4,77,384,5.0,2,18,1,21,7,77,0,0,0
2003-10-25,,Iowa State,W (28-0),4,7,57.1,35,0,54,282,5.2,3,61,317,5.2,1,12,0,13,10,67,1,1,2
2003-11-01,@,Texas,L (7-31),5,15,33.3,122,1,40,53,1.3,0,55,175,3.2,3,4,1,8,6,60,0,1,1
2003-11-08,@,Kansas,W (24-3),7,12,58.3,110,0,53,290,5.5,3,65,400,6.2,5,16,6,27,8,87,1,1,2
2003-11-15,,Kansas State,L (9-38),8,26,30.8,98,1,41,195,4.8,0,67,293,4.4,7,9,0,16,1,5,2,2,4
2003-11-28,@,Colorado,W (31-22),8,18,44.4,146,1,59,223,3.8,3,77,369,4.8,6,12,0,18,5,45,0,0,0
2003-12-29,N,Michigan State*,W (17-3),8,17,47.1,160,0,54,229,4.2,2,71,389,5.5,6,12,2,20,8,69,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-04,,Western Illinois,W (56-17),16,31,51.6,218,4,39,363,9.3,4,70,581,8.3,12,18,0,30,6,55,2,4,6
2004-09-11,,Southern Mississippi,L (17-21),22,42,52.4,202,2,46,274,6.0,0,88,476,5.4,13,12,1,26,5,25,2,3,5
2004-09-18,@,Pittsburgh,W (24-17),11,23,47.8,142,1,43,123,2.9,2,66,265,4.0,7,6,2,15,8,60,0,1,1
2004-10-02,,Kansas,W (14-8),16,24,66.7,183,1,32,139,4.3,1,56,322,5.8,6,5,0,11,8,66,1,3,4
2004-10-09,@,Texas Tech,L (10-70),15,42,35.7,199,1,37,93,2.5,0,79,292,3.7,11,4,4,19,5,36,2,5,7
2004-10-16,,Baylor,W (59-27),13,20,65.0,342,5,42,169,4.0,3,62,511,8.2,11,8,0,19,7,47,0,0,0
2004-10-23,@,Kansas State,L (21-45),3,12,25.0,116,0,34,106,3.1,2,46,222,4.8,2,6,1,9,6,45,3,1,4
2004-10-30,,Missouri,W (24-3),4,17,23.5,26,0,41,209,5.1,2,58,235,4.1,0,8,0,8,7,58,0,0,0
2004-11-06,@,Iowa State,L (27-34),19,43,44.2,249,1,35,195,5.6,3,78,444,5.7,11,6,3,20,11,84,0,1,1
2004-11-13,@,Oklahoma,L (3-30),8,13,61.5,73,0,40,201,5.0,0,53,274,5.2,4,8,1,13,7,60,0,1,1
2004-11-26,,Colorado,L (20-26),29,55,52.7,306,2,23,67,2.9,1,78,373,4.8,19,4,1,24,5,25,0,4,4
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-03,,Maine,W (25-7),15,36,41.7,192,0,42,121,2.9,1,78,313,4.0,9,7,1,17,0,0,3,2,5
2005-09-10,,Wake Forest,W (31-3),14,33,42.4,114,1,30,120,4.0,0,63,234,3.7,7,3,3,13,10,86,0,1,1
2005-09-17,,Pittsburgh,W (7-6),10,20,50.0,93,0,48,174,3.6,1,68,267,3.9,1,12,1,14,11,91,0,0,0
2005-10-01,,Iowa State,W (27-20),36,55,65.5,431,2,25,36,1.4,1,80,467,5.8,24,1,1,26,8,80,1,0,1
2005-10-08,,Texas Tech,L (31-34),21,35,60.0,229,2,35,135,3.9,2,70,364,5.2,11,7,4,22,8,72,3,2,5
2005-10-15,@,Baylor,W (23-14),18,32,56.3,168,2,51,182,3.6,0,83,350,4.2,10,10,5,25,5,25,1,0,1
2005-10-22,@,Missouri,L (24-41),22,43,51.2,281,2,19,-2,-0.1,1,62,279,4.5,8,4,1,13,12,99,1,2,3
2005-10-29,,Oklahoma,L (24-31),26,46,56.5,267,3,34,16,0.5,0,80,283,3.5,15,4,1,20,5,34,0,2,2
2005-11-05,@,Kansas,L (15-40),14,27,51.9,117,1,22,21,1.0,1,49,138,2.8,5,2,0,7,6,32,0,1,1
2005-11-12,,Kansas State,W (27-25),22,38,57.9,241,2,35,93,2.7,1,73,334,4.6,12,5,3,20,8,47,2,1,3
2005-11-25,@,Colorado,W (30-3),27,48,56.3,392,2,42,105,2.5,1,90,497,5.5,16,9,3,28,7,51,0,0,0
2005-12-28,N,Michigan*,W (32-28),14,31,45.2,167,3,37,151,4.1,1,68,318,4.7,6,7,3,16,9,76,0,2,2
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-02,,Louisiana Tech,W (49-10),24,36,66.7,332,4,48,252,5.3,3,84,584,7.0,14,16,0,30,5,45,1,1,2
2006-09-09,,Nicholls State,W (56-7),21,26,80.8,237,4,50,261,5.2,4,76,498,6.6,12,17,1,30,3,20,1,0,1
2006-09-16,@,Southern California,L (10-28),9,17,52.9,143,0,36,68,1.9,1,53,211,4.0,7,3,0,10,5,51,1,0,1
2006-09-23,,Troy,W (56-0),16,23,69.6,281,2,46,316,6.9,6,69,597,8.7,11,12,2,25,8,65,0,1,1
2006-09-30,,Kansas,W (39-32),15,33,45.5,395,4,32,116,3.6,1,65,511,7.9,11,5,0,16,5,35,3,0,3
2006-10-07,@,Iowa State,W (28-14),17,21,81.0,131,1,45,251,5.6,3,66,382,5.8,5,11,1,17,7,70,1,0,1
2006-10-14,@,Kansas State,W (21-3),13,22,59.1,166,2,43,190,4.4,1,65,356,5.5,9,7,0,16,2,20,0,0,0
2006-10-21,,Texas,L (20-22),16,29,55.2,302,3,24,38,1.6,0,53,340,6.4,10,3,2,15,7,67,2,1,3
2006-10-28,@,Oklahoma State,L (29-41),21,39,53.8,241,2,40,211,5.3,2,79,452,5.7,12,14,3,29,5,40,1,0,1
2006-11-04,,Missouri,W (34-20),14,22,63.6,236,3,47,183,3.9,1,69,419,6.1,11,8,1,20,3,19,2,0,2
2006-11-11,@,Texas A&M,W (28-27),21,36,58.3,267,2,38,123,3.2,2,74,390,5.3,12,6,1,19,5,43,0,1,1
2006-11-24,,Colorado,W (37-14),20,30,66.7,278,3,46,190,4.1,2,76,468,6.2,11,11,2,24,10,70,2,0,2
2006-12-02,N,Oklahoma,L (7-21),23,50,46.0,282,1,21,84,4.0,0,71,366,5.2,11,6,0,17,5,24,2,3,5
2007-01-01,N,Auburn*,L (14-17),14,27,51.9,126,1,38,104,2.7,1,65,230,3.5,8,6,3,17,4,45,1,1,2
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-01,,Nevada,W (52-10),15,26,57.7,212,1,70,413,5.9,6,96,625,6.5,12,20,3,35,8,65,0,1,1
2007-09-08,@,Wake Forest,W (20-17),24,41,58.5,258,1,34,115,3.4,1,75,373,5.0,12,7,2,21,5,26,1,2,3
2007-09-15,,Southern California,L (31-49),36,54,66.7,389,2,28,31,1.1,2,82,420,5.1,19,3,6,28,6,45,0,2,2
2007-09-22,,Ball State,W (41-40),29,37,78.4,438,3,36,114,3.2,2,73,552,7.6,17,7,1,25,5,50,2,1,3
2007-09-29,,Iowa State,W (35-17),19,29,65.5,239,3,30,130,4.3,1,59,369,6.3,13,4,0,17,4,50,2,1,3
2007-10-06,@,Missouri,L (6-41),25,43,58.1,223,0,25,74,3.0,0,68,297,4.4,14,4,2,20,10,57,0,1,1
2007-10-13,,Oklahoma State,L (14-45),10,18,55.6,129,2,50,206,4.1,0,68,335,4.9,7,8,2,17,6,57,1,2,3
2007-10-20,,Texas A&M,L (14-36),26,44,59.1,275,1,26,130,5.0,1,70,405,5.8,16,7,1,24,4,30,3,0,3
2007-10-27,@,Texas,L (25-28),25,38,65.8,315,3,38,132,3.5,0,76,447,5.9,15,5,0,20,9,59,1,0,1
2007-11-03,@,Kansas,L (39-76),25,50,50.0,405,4,23,79,3.4,1,73,484,6.6,16,6,0,22,4,22,1,4,5
2007-11-10,,Kansas State,W (73-31),31,43,72.1,519,7,37,183,4.9,2,80,702,8.8,23,11,1,35,6,71,0,0,0
2007-11-23,@,Colorado,L (51-65),31,58,53.4,484,4,20,126,6.3,3,78,610,7.8,20,7,1,28,10,57,0,3,3
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-30,,Western Michigan,W (47-24),20,36,55.6,345,4,31,138,4.5,1,67,483,7.2,14,7,3,24,6,60,0,2,2
2008-09-06,,San Jose State,W (35-12),18,27,66.7,216,0,30,99,3.3,3,57,315,5.5,11,6,2,19,12,103,1,1,2
2008-09-13,,New Mexico State,W (38-7),18,24,75.0,223,2,44,330,7.5,3,68,553,8.1,12,15,1,28,7,41,1,0,1
2008-09-27,,Virginia Tech,L (30-35),17,26,65.4,278,2,25,55,2.2,1,51,333,6.5,10,3,1,14,7,69,1,1,2
2008-10-04,,Missouri,L (17-52),27,39,69.2,293,2,34,76,2.2,0,73,369,5.1,16,4,1,21,14,101,1,1,2
2008-10-11,@,Texas Tech,L (31-37),37,45,82.2,357,2,35,114,3.3,2,80,471,5.9,17,11,1,29,8,55,0,1,1
2008-10-18,@,Iowa State,W (35-7),27,37,73.0,328,1,41,220,5.4,4,78,548,7.0,18,9,2,29,4,45,3,0,3
2008-10-25,,Baylor,W (32-20),32,46,69.6,336,3,37,161,4.4,1,83,497,6.0,17,9,0,26,6,70,1,0,1
2008-11-01,@,Oklahoma,L (28-62),16,28,57.1,214,1,35,204,5.8,3,63,418,6.6,6,9,0,15,8,74,2,2,4
2008-11-08,,Kansas,W (45-35),29,38,76.3,328,4,35,167,4.8,2,73,495,6.8,16,8,0,24,4,30,2,1,3
2008-11-15,@,Kansas State,W (56-28),16,25,64.0,270,2,53,340,6.4,6,78,610,7.8,11,18,0,29,7,56,1,1,2
2008-11-28,,Colorado,W (40-31),19,26,73.1,229,2,51,178,3.5,1,77,407,5.3,12,11,0,23,3,15,2,0,2
2009-01-01,N,Clemson*,W (26-21),19,36,52.8,236,2,35,125,3.6,0,71,361,5.1,11,3,0,14,8,81,2,1,3
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-05,,Florida Atlantic,W (49-3),17,25,68.0,231,2,32,259,8.1,5,57,490,8.6,8,13,1,22,9,86,0,1,1
2009-09-12,,Arkansas State,W (38-9),30,41,73.2,358,4,28,136,4.9,1,69,494,7.2,19,7,1,27,3,40,0,0,0
2009-09-19,@,Virginia Tech,L (15-16),11,30,36.7,136,0,36,207,5.8,0,66,343,5.2,7,9,2,18,9,60,0,2,2
2009-09-26,,Louisiana,W (55-0),22,26,84.6,300,2,34,133,3.9,4,60,433,7.2,13,7,1,21,6,54,0,0,0
2009-10-08,@,Missouri,W (27-12),14,33,42.4,158,3,33,105,3.2,1,66,263,4.0,6,6,2,14,12,108,2,0,2
2009-10-17,,Texas Tech,L (10-31),23,38,60.5,215,1,30,70,2.3,0,68,285,4.2,11,4,1,16,12,95,1,1,2
2009-10-24,,Iowa State,L (7-9),20,37,54.1,248,0,28,114,4.1,1,65,362,5.6,9,4,2,15,3,25,5,3,8
2009-10-31,@,Baylor,W (20-10),12,21,57.1,128,0,38,145,3.8,1,59,273,4.6,6,5,0,11,6,65,1,1,2
2009-11-07,,Oklahoma,W (10-3),7,14,50.0,39,1,43,141,3.3,0,57,180,3.2,2,4,1,7,11,104,1,0,1
2009-11-14,@,Kansas,W (31-17),13,21,61.9,196,0,42,214,5.1,3,63,410,6.5,6,10,2,18,5,55,0,0,0
2009-11-21,,Kansas State,W (17-3),13,19,68.4,166,1,45,101,2.2,1,64,267,4.2,9,7,3,19,3,34,0,1,1
2009-11-27,@,Colorado,W (28-20),9,14,64.3,73,1,40,144,3.6,1,54,217,4.0,5,9,0,14,7,49,1,0,1
2009-12-05,N,Texas,L (12-13),6,20,30.0,39,0,35,67,1.9,0,55,106,1.9,3,2,0,5,7,64,0,3,3
2009-12-30,N,Arizona*,W (33-0),13,25,52.0,173,1,48,223,4.6,2,73,396,5.4,7,11,1,19,7,55,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-04,,Western Kentucky,W (49-10),17,25,68.0,247,1,33,289,8.8,6,58,536,9.2,11,12,0,23,6,75,2,0,2
2010-09-11,,Idaho,W (38-17),13,18,72.2,111,0,41,360,8.8,3,59,471,8.0,5,13,0,18,10,123,3,1,4
2010-09-18,@,Washington,W (56-21),7,11,63.6,150,1,54,383,7.1,6,65,533,8.2,6,15,0,21,7,49,1,0,1
2010-09-25,,South Dakota State,W (17-3),6,16,37.5,140,1,48,205,4.3,1,64,345,5.4,4,9,2,15,6,47,1,2,3
2010-10-07,@,Kansas State,W (48-13),6,10,60.0,136,1,42,451,10.7,5,52,587,11.3,4,16,1,21,6,48,0,0,0
2010-10-16,,Texas,L (13-20),8,21,38.1,77,0,44,125,2.8,0,65,202,3.1,3,7,3,13,10,94,1,0,1
2010-10-23,@,Oklahoma State,W (51-41),23,35,65.7,323,5,44,217,4.9,0,79,540,6.8,12,11,2,25,7,55,1,0,1
2010-10-30,,Missouri,W (31-17),7,12,58.3,126,1,47,328,7.0,3,59,454,7.7,6,11,0,17,6,53,0,0,0
2010-11-06,@,Iowa State,W (31-30),7,12,58.3,79,0,52,235,4.5,3,64,314,4.9,6,9,0,15,6,54,2,0,2
2010-11-13,,Kansas,W (20-3),14,26,53.8,167,0,49,230,4.7,2,75,397,5.3,9,11,0,20,6,54,1,1,2
2010-11-20,@,Texas A&M,L (6-9),17,28,60.7,164,0,37,142,3.8,0,65,306,4.7,6,9,0,15,16,145,0,2,2
2010-11-26,,Colorado,W (45-17),15,19,78.9,142,4,59,265,4.5,2,78,407,5.2,9,14,1,24,8,79,0,0,0
2010-12-04,N,Oklahoma,L (20-23),13,28,46.4,148,1,43,145,3.4,1,71,293,4.1,7,6,0,13,3,15,3,1,4
2010-12-30,N,Washington*,L (7-19),10,21,47.6,98,1,41,91,2.2,0,62,189,3.0,7,6,1,14,12,102,1,1,2
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-03,,Chattanooga,W (40-7),12,25,48.0,135,0,43,229,5.3,4,68,364,5.4,7,8,3,18,3,33,2,0,2
